url,day,lobby,type,description
https://overstat.gg/tournament/thevoidleague/16379.VESA_S12_Placement_Lobby_1_10_/standings/overall/player-standings,1,1,player,S12 Placements Day 1 - Lobby 1
https://overstat.gg/tournament/thevoidleague/16381.VESA_S12_Placement_Lobby_2_10_/standings/overall/player-standings,1,2,player,S12 Placements Day 1 - Lobby 2
https://overstat.gg/tournament/thevoidleague/16353.VESA_S12_Placement_Lobby_Day_1/standings/overall/player-standings,1,3,player,S12 Placements Day 1 - Lobby 3A
https://overstat.gg/tournament/thevoidleague/16382.VESA_S12_Placement_Lobby_3B_Da/standings/overall/player-standings,1,3,player,S12 Placements Day 1 - Lobby 3B
https://overstat.gg/tournament/thevoidleague/16383.VESA_S12_Placement_Lobby_5A_Da/standings/overall/player-standings,1,5,player,S12 Placements Day 1 - Lobby 5A
https://overstat.gg/tournament/thevoidleague/16384.VESA_S12_Placement_Lobby_5B_Da/standings/overall/player-standings,1,5,player,S12 Placements Day 1 - Lobby 5B
https://overstat.gg/tournament/thevoidleague/16385.VESA_S12_Placement_Lobby_7_Day/standings/overall/player-standings,1,7,player,S12 Placements Day 1 - Lobby 7
https://overstat.gg/tournament/thevoidleague/16477.VESA_S12_Placement_Lobby_1_5_1/standings/overall/player-standings,2,1.5,player,S12 Placements Day 2 - Lobby 1.5
https://overstat.gg/tournament/thevoidleague/16478.VESA_S12_Placement_Lobby_2_5_1/standings/overall/player-standings,2,2.5,player,S12 Placements Day 2 - Lobby 2.5
https://overstat.gg/tournament/thevoidleague/16479.VESA_S12_Placement_Lobby_3_5_1/standings/overall/player-standings,2,3.5,player,S12 Placements Day 2 - Lobby 3.5
https://overstat.gg/tournament/thevoidleague/16480.VESA_S12_Placement_Lobby_4_5_1/standings/overall/player-standings,2,4.5,player,S12 Placements Day 2 - Lobby 4.5
https://overstat.gg/tournament/thevoidleague/16481.VESA_S12_Placement_Lobby_5_5_1/standings/overall/player-standings,2,5.5,player,S12 Placements Day 2 - Lobby 5.5
https://overstat.gg/tournament/thevoidleague/16482.VESA_S12_Placement_Lobby_6_5_1/standings/overall/player-standings,2,6.5,player,S12 Placements Day 2 - Lobby 6.5
https://overstat.gg/tournament/thevoidleague/16532.VESA_S12_Placement_Lobby_1_Day/standings/overall/player-standings,3,1,player,S12 Placements Day 3 - Lobby 1
https://overstat.gg/tournament/thevoidleague/16534.VESA_S12_Placement_Lobby_2_Day/standings/overall/player-standings,3,2,player,S12 Placements Day 3 - Lobby 2
https://overstat.gg/tournament/thevoidleague/16535.VESA_S12_Placement_Lobby_3_Day/standings/overall/player-standings,3,3,player,S12 Placements Day 3 - Lobby 3
https://overstat.gg/tournament/thevoidleague/16537.VESA_S12_Placement_Lobby_5_Day/standings/overall/player-standings,3,5,player,S12 Placements Day 3 - Lobby 5
https://overstat.gg/tournament/thevoidleague/16536.VESA_S12_Placement_Lobby_4_Day/standings/overall/player-standings,3,4,player,S12 Placements Day 3 - Lobby 4
https://overstat.gg/tournament/thevoidleague/16538.VESA_S12_Placement_Lobby_6_Day/standings/overall/player-standings,3,6,player,S12 Placements Day 3 - Lobby 6
https://overstat.gg/tournament/thevoidleague/16561.VESA_S12_Placement_Lobby_7_Day/standings/overall/player-standings,3,7,player,S12 Placements Day 3 - Lobby 7
https://overstat.gg/tournament/thevoidleague/16562.VESA_S12_Placement_Lobby_1_Day/standings/overall/player-standings,4,1.5,player,S12 Placements Day 4 - Lobby 1.5
https://overstat.gg/tournament/thevoidleague/16563.VESA_S12_Placement_Lobby_2_5_D/standings/overall/player-standings,4,2.5,player,S12 Placements Day 4 - Lobby 2.5
https://overstat.gg/tournament/thevoidleague/16564.VESA_S12_Placement_Lobby_3_5_D/standings/overall/player-standings,4,3.5,player,S12 Placements Day 4 - Lobby 3.5
https://overstat.gg/tournament/thevoidleague/16565.VESA_S12_Placement_Lobby_4_5_D/standings/overall/player-standings,4,4.5,player,S12 Placements Day 4 - Lobby 4.5
https://overstat.gg/tournament/thevoidleague/16566.VESA_S12_Placement_Lobby_5_5_D/standings/overall/player-standings,4,5.5,player,S12 Placements Day 4 - Lobby 5.5
https://overstat.gg/tournament/thevoidleague/16567.VESA_S12_Placement_Lobby_6_5_D/standings/overall/player-standings,4,6.5,player,S12 Placements Day 4 - Lobby 6.5
